user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count,total_count,flesch_kincaid
11,5,LPuG35hMR2ej4rZJc,0.0,0,185,0,64.71
11,6,Ddo7nRkcNfEPJkh87,0.0,0,206,0,69.75
12,0,DJ82KMGpjj4PZZ2HN,0.0,0,40,29,124.4
12,1,3Joc72XDAAb3XXatj,0.03896103896103896,3,77,29,89.75
12,2,rpXNvqLm6ra8HXP9A,0.014184397163120567,2,141,29,61.22
12,3,Zg6isAKvwpSH4WxBK,0.023668639053254437,4,169,29,60.31
12,4,ritrnCvnRdcdmmCWm,0.037914691943127965,8,211,29,67.15
12,5,uZ7stzCEk4E6XTite,0.032432432432432434,6,185,29,64.71
12,6,ZkAyeeNvyKZQreXwW,0.02912621359223301,6,206,29,69.75
13,0,qHKbFeLfRhcTtWzmm,0.0,0,40,21,124.4
13,1,2zKyXcquSF429NrBv,0.0,0,77,21,89.75
13,2,eWuyLCDNPe4BuQwwW,0.0070921985815602835,1,141,21,61.22
13,3,ab396DrpYG4uo7zCX,0.01775147928994083,3,169,21,60.31
13,4,AsgPnH4XxGD4XKMNj,0.04265402843601896,9,211,21,67.15
13,5,MG9zKGdyiWFqwgWSo,0.021621621621621623,4,185,21,64.71
13,6,7T4FXcjPb6ZpFBqGP,0.019417475728155338,4,206,21,69.75
14,0,hLrXaAXSHzT8jo7gg,0.025,1,40,21,124.4
14,1,9GNjLrigPcuSzWorh,0.012987012987012988,1,77,21,89.75
14,2,9MhMLEjFyE7nChhMK,0.014184397163120567,2,141,21,61.22
14,3,pXdRs5iiPkn5PkycD,0.03550295857988166,6,169,21,60.31
14,4,czXWJRz5SLt7TDoZ7,0.018957345971563982,4,211,21,67.15
14,5,PHFNX7rJuxTs4iscF,0.02702702702702703,5,185,21,64.71
14,6,42Ea6qYSEYdS8LZc5,0.009708737864077669,2,206,21,69.75
15,0,nygDzaqAmpTo98giC,0.0,0,40,18,124.4
15,1,oWq8uK8ms4JNRFS5X,0.025974025974025976,2,77,18,89.75
15,2,RKKvNGdKyCZ6q4u5R,0.0,0,141,18,61.22
15,3,2YGDW9RFSTvzyMzdc,0.03550295857988166,6,169,18,60.31
15,4,XHH2xfNe8euLxHWHZ,0.018957345971563982,4,211,18,67.15
15,5,KLy4D5K3zsoGR7YuZ,0.016216216216216217,3,185,18,64.71
15,6,dJfGbemQyy9iRWSTp,0.014563106796116505,3,206,18,69.75
16,0,ChuMpxkd2Ni65GYMx,0.0,0,40,0,124.4
16,1,wgbrQ4fCAj9cAZwEq,0.0,0,77,0,89.75
16,2,o6hZCvbyXFJY9LBwn,0.0,0,141,0,61.22
16,3,zRZ6M7zp3mwHPtia6,0.0,0,169,0,60.31
16,4,8zvrXYQqaPFXfjrBF,0.0,0,211,0,67.15
16,5,gu4RhbSzr2tjQqwgA,0.0,0,185,0,64.71
16,6,AAbFB4ks2EPZWknMY,0.0,0,206,0,69.75
17,0,ddPj2Qqyv4KMXpS6C,0.0,0,40,0,124.4
17,1,8kPD8wAniRWtZNz7B,0.0,0,77,0,89.75
17,2,WQH7Ptc3qMjJJWhTY,0.0,0,141,0,61.22
17,3,5vZKtGkwa7YuSApEp,0.0,0,169,0,60.31
17,4,DjFAcAwDP9mnmYBGR,0.0,0,211,0,67.15
17,5,z74h3FAnTWZrPQs69,0.0,0,185,0,64.71
17,6,7QeQs3n9hxQGqWbA9,0.0,0,206,0,69.75
18,0,NJJANBDFGZ9vrZ7J2,0.0,0,40,21,124.4
18,1,pooEQPHJemG8PiNj5,0.0,0,77,21,89.75
18,2,Rgt6Lb6A86N9AFkWN,0.014184397163120567,2,141,21,61.22
18,3,jXwMJLTqNHkc4G7EK,0.011834319526627219,2,169,21,60.31
18,4,eTgsgugE9FP43RAxE,0.04265402843601896,9,211,21,67.15
18,5,qnmHKqzrQ53NT3eX6,0.032432432432432434,6,185,21,64.71
18,6,dQtdZGzdXgRojpZJa,0.009708737864077669,2,206,21,69.75
19,0,4yvDk7Qg3xAc5wPFk,0.0,0,40,2,124.4
19,1,WkYWyo2gLcoYgf4KB,0.0,0,77,2,89.75
19,2,jP7F45Pi9vEM7v3g2,0.0,0,141,2,61.22
19,3,x8jc2cjeXLHSPkPr5,0.0,0,169,2,60.31
19,4,ZxkPR9htL6xexrPWn,0.004739336492890996,1,211,2,67.15
19,5,3Lu6C9d86QshvDJgZ,0.005405405405405406,1,185,2,64.71
19,6,Nxm57ryFDJoavrkKA,0.0,0,206,2,69.75
20,0,HCoHypsj9nYuiPJ4Q,0.0,0,40,19,124.4
20,1,C2Sm4sacPE4tYo7Ki,0.0,0,77,19,89.75
20,2,BqHTijgXGFL6C8WQM,0.0070921985815602835,1,141,19,61.22
20,3,JcrLgce29xTjfjMMn,0.029585798816568046,5,169,19,60.31
20,4,qgDtsJanD6CfHqnjW,0.037914691943127965,8,211,19,67.15
20,5,gXCzsm2WXxERkwkiR,0.021621621621621623,4,185,19,64.71
20,6,kAFTzctPrFdvResJY,0.0048543689320388345,1,206,19,69.75
21,0,vsjMbALH7jZ63dmEx,0.0,0,40,0,124.4
21,1,ZrSN6FMqc56rmm3AQ,0.0,0,77,0,89.75
21,2,ZBmnoLmjK6JSqgdqe,0.0,0,141,0,61.22
21,3,junrY7YmMR4F2qoQ8,0.0,0,169,0,60.31
21,4,cDJM72HPD9zukSNFK,0.0,0,211,0,67.15
21,5,7X5xHpJeyLPHL3Wec,0.0,0,185,0,64.71
21,6,tWYdJi2XFHhjz9u5L,0.0,0,206,0,69.75
22,0,pm7LnyQ3vLGAGFGh4,0.025,1,40,35,124.4
22,1,9w9gBG4hihjwJTsKs,0.012987012987012988,1,77,35,89.75
22,2,tLEhvGDyij4kSbMMK,0.02127659574468085,3,141,35,61.22
22,3,zkwkTCm5L7qQJhcnk,0.04142011834319527,7,169,35,60.31
22,4,QxqG3Jxgv24gLCztp,0.03317535545023697,7,211,35,67.15
22,5,AGENAGdHJaE24PQxa,0.07567567567567568,14,185,35,64.71
22,6,gqxSfgs87tJdyGRvQ,0.009708737864077669,2,206,35,69.75
23,0,XAdmsNvMbnHJeWEsa,0.0,0,40,27,124.4
23,1,CB5mZdDHZdao7i99G,0.025974025974025976,2,77,27,89.75
23,2,8Y7RCLcarnc5cs7yC,0.06382978723404255,9,141,27,61.22
23,3,HFrHNGD2CjCTxcKSk,0.03550295857988166,6,169,27,60.31
23,4,wLYPCtR5EopSxMtQp,0.014218009478672985,3,211,27,67.15
23,5,xpCJdQoHRC5TwDqRd,0.021621621621621623,4,185,27,64.71
23,6,sqwZZuzJD6raZD9N4,0.014563106796116505,3,206,27,69.75
24,0,ewbugY4GzDbG25uSi,0.0,0,40,19,124.4
24,1,h637bHs2C8rubPWvL,0.012987012987012988,1,77,19,89.75
24,2,uq3LeBJuWtQPSGngY,0.0070921985815602835,1,141,19,61.22
24,3,g9SuThsPXEZzHpEE8,0.023668639053254437,4,169,19,60.31
24,4,uDcsATKczzmb7ghD4,0.018957345971563982,4,211,19,67.15
24,5,JidgP9xsQ9ZpnnjJY,0.02702702702702703,5,185,19,64.71
24,6,rBX2y5StxiKxFafCe,0.019417475728155338,4,206,19,69.75
25,0,oAtgFe3Le3vuCARpa,0.0,0,40,21,124.4
25,1,6E88gb2actYPQAmWo,0.012987012987012988,1,77,21,89.75
