user_id,sentence_id,unknown_count,relative_difficulty,unique_word_count
0,0,0,0.0,5
0,1,0,0.0,5
0,2,0,0.0,11
0,3,0,0.0,8
0,4,0,0.0,6
0,5,0,0.0,5
0,6,0,0.0,4
0,7,0,0.0,7
0,8,0,0.0,4
0,9,0,0.0,5
0,10,0,0.0,6
0,11,0,0.0,8
0,12,0,0.0,6
0,13,0,0.0,6
0,14,1,0.1111111111111111,9
0,15,0,0.0,9
0,16,0,0.0,6
0,17,1,0.125,8
0,18,0,0.0,5
0,19,0,0.0,11
0,20,1,0.0625,16
0,21,0,0.0,10
0,22,1,0.1,10
0,23,0,0.0,13
0,24,1,0.1111111111111111,9
0,25,0,0.0,10
0,26,0,0.0,12
0,27,0,0.0,9
0,28,0,0.0,6
0,29,0,0.0,13
0,30,1,0.0625,16
0,31,0,0.0,10
0,32,0,0.0,7
0,33,2,0.11764705882352941,17
0,34,1,0.14285714285714285,7
0,35,0,0.0,6
0,36,0,0.0,4
0,37,1,0.14285714285714285,7
0,38,0,0.0,12
0,39,1,0.0625,16
0,40,1,0.1111111111111111,9
0,41,0,0.0,9
0,42,0,0.0,5
0,43,1,0.06666666666666667,15
0,44,0,0.0,10
0,45,1,0.07142857142857142,14
0,46,0,0.0,12
0,47,0,0.0,9
0,48,1,0.058823529411764705,17
0,49,0,0.0,20
0,50,0,0.0,12
0,51,0,0.0,19
0,52,1,0.058823529411764705,17
0,53,1,0.058823529411764705,17
0,54,2,0.125,16
0,55,0,0.0,11
0,56,2,0.11764705882352941,17
0,57,0,0.0,28
0,58,1,0.08333333333333333,12
0,59,0,0.0,8
0,60,2,0.07692307692307693,26
0,61,0,0.0,14
0,62,0,0.0,20
0,63,0,0.0,18
0,64,0,0.0,18
0,65,1,0.07142857142857142,14
0,66,0,0.0,7
0,67,0,0.0,12
0,68,1,0.0625,16
0,69,0,0.0,15
0,70,1,0.09090909090909091,11
0,71,1,0.0625,16
0,72,2,0.18181818181818182,11
0,73,0,0.0,10
0,74,1,0.07142857142857142,14
0,75,3,0.1875,16
0,76,3,0.1875,16
0,77,2,0.2222222222222222,9
0,78,1,0.14285714285714285,7
0,79,1,0.16666666666666666,6
0,80,2,0.13333333333333333,15
0,81,0,0.0,7
0,82,2,0.14285714285714285,14
0,83,0,0.0,16
0,84,2,0.07407407407407407,27
0,85,1,0.06666666666666667,15
0,86,0,0.0,9
0,87,1,0.05263157894736842,19
0,88,1,0.041666666666666664,24
0,89,0,0.0,12
0,90,1,0.07692307692307693,13
0,91,0,0.0,10
0,92,4,0.3076923076923077,13
0,93,0,0.0,6
0,94,0,0.0,14
0,95,0,0.0,19
0,96,1,0.043478260869565216,23
0,97,2,0.125,16
0,98,0,0.0,15
0,99,0,0.0,16
